Designator,Footprint,Quantity,Value,LCSC Part #
BT1,Battery_Seiko_MS421R,1,MS421R,
"C1, C7",0603,2,0.1u,C14663
"C10, C11, C12, C4, C9",0603,5,1u,C15849
C2,0603,1,470p,C1620
C3,0805,1,22u,C45783
C5,C_Murata_xxx15_0402_1005Metric_1.0x0.5mm,1,GJM1555C1H470FB01D,C882562
C6,0402,1,0.1u,C307331
C8,0603,1,2.2u,C23630
"D1, D2, D4, D5",D_Toshiba_US2H,4,CUHS20S30,C5636538
D3,D_Littelfuse_AXGD10402KR_0402_1005Metric_1.02x0.51mm,1,AXGD10402KR,C434715
D6,0603,1,PULSE(WHITE),C2290
D7,0603,1,RTK(YELLOW),C72038
D8,0603,1,PWR(RED),C2286
J1,ROCK_Pi_S,1,ROCK_Pi_S,
"J2, J4",USB_C_Receptacle_G-Switch_GT-USB-7025,2,GT-USB-7025,C963213
J3,U.FL_Hirose_U.FL-R-SMT-1_Vertical,1,U.FL-R-SMT-1,C88374
L1,L_Murata_LQW18ANxxxx80x_0603_1608Metric_1.65x0.99mm,1,LQW18ANR12G80D,C307612
"Q1, Q2",SOT-23,2,AO3400A,C20917
"R1, R2, R5, R6",0603,4,5.1k,C23186
"R10, R11, R12, R13, R14, R15, R7, R8, R9",0603,9,33,C23140
"R16, R17, R25",0603,3,1k,C21190
R18,0603,1,3.3k,C22978
"R19, R24",0603,2,100k,C25803
"R20, R23",0603,2,10k,C25804
"R21, R22",0603,2,47,C23182
R3,0402,1,10,C25077
R4,R_Vishay_FC0603xxxxxxTxx_0603_1608Metric_1.626x0.813mm,1,FC0603E1000BTBT1,C3999268
TP1,TestPoint_Pad_D1.0mm,1,EXTINT_F9R,
TP2,TestPoint_Pad_D1.0mm,1,~{SAFEBOOT_F9R},
TP3,TestPoint_Pad_D1.0mm,1,~{RESET_F9R},
TP4,TestPoint_Pad_D1.0mm,1,EXTINT_D9C,
TP5,TestPoint_Pad_D1.0mm,1,~{SAFEBOOT_D9C},
TP6,TestPoint_Pad_D1.0mm,1,~{RESET_D9C},
U1,Converter_DCDC_BananaPi_BPI-9600,1,BPI-9600,
"U2, U7",SOT-23-6,2,USBLC6-2SC6,C7519
U3,SOT-23-5,1,MIC5219-3.3YM5,C29613
U4,ublox_ZED,1,ZED-F9R,C5189233
U5,ublox_NEO,1,NEO-D9C,C5137014
U6,Xinger_0805_2012Metric-6_Pad0.33x0.41mm,1,PD0922J5050S2HF,C5136968
